beta,lambda_B_r0,lambda_B_r1
6.169491525423728362e+00,-5.391641108660830128e-02,5.391641108660834986e-02
6.457627118644067465e+00,-5.246864043139268241e-02,5.246864043139268241e-02
6.745762711864406569e+00,-5.118386964151719343e-02,5.118386964151720731e-02
7.033898305084745672e+00,-5.002297889598345676e-02,5.002297889598342900e-02
7.322033898305084776e+00,-4.896765079401381449e-02,4.896765079401380755e-02
7.610169491525423879e+00,-4.800302534044302571e-02,4.800302534044301184e-02
7.898305084745762983e+00,-4.712508194041090809e-02,4.712508194041088727e-02
8.186440677966102086e+00,-4.632172748221544817e-02,4.632172748221549674e-02
8.474576271186441190e+00,-4.557861278115584586e-02,4.557861278115581116e-02
8.762711864406780293e+00,-4.488866819655952523e-02,4.488866819655949053e-02
9.050847457627117620e+00,-4.424590232666993084e-02,4.424590232666995165e-02
9.338983050847456724e+00,-4.364520357932788475e-02,4.364520357932783617e-02
9.627118644067795827e+00,-4.308218403302286476e-02,4.308218403302276067e-02
9.915254237288134931e+00,-4.255413264546634156e-02,4.255413264546642482e-02
1.020338983050847403e+01,-4.206606909787179160e-02,4.206606909787169446e-02
1.049152542372881314e+01,-4.160589678967916566e-02,4.160589678967922811e-02
1.077966101694915224e+01,-4.117110000327016406e-02,4.117110000327015712e-02
1.106779661016949134e+01,-4.075946367805235310e-02,4.075946367805228371e-02
1.135593220338983045e+01,-4.036902951740439782e-02,4.036902951740434231e-02
1.164406779661016955e+01,-3.999805959127335220e-02,3.999805959127334526e-02
1.193220338983050866e+01,-3.964500598132073700e-02,3.964500598132068843e-02
1.222033898305084776e+01,-3.930848532866387801e-02,3.930848532866384332e-02
1.250847457627118686e+01,-3.898725738351377368e-02,3.898725738351374592e-02
1.279661016949152597e+01,-3.868020684025172407e-02,3.868020684025162692e-02
1.308474576271186507e+01,-3.838632788440524829e-02,3.838632788440520666e-02
1.337288135593220417e+01,-3.810471098963114089e-02,3.810471098963114783e-02
1.366101694915254328e+01,-3.783453159059511212e-02,3.783453159059511212e-02
1.394915254237288238e+01,-3.757558109696849252e-02,3.757558109696840232e-02
1.423728813559322148e+01,-3.733341263062053134e-02,3.733341263062053828e-02
1.452542372881356059e+01,-3.710070818830000366e-02,3.710070818830000366e-02
